Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
42,5,0.9182,9.182,464.0,0.01901,0.996692,"OGDHL MYOZ1 ADAMTS14 C10orf55 TSPAN15"
43,31,0.9017,419.3,2410,0.1450,1.00000,"BAG1 C9orf131 SPAG8 GLIPR2 NPR2 ZBTB5 TOMM5 CREB3 FAM219A CCL21 DNAI1 FRMPD1 GRHPR CCDC107 CCL19 FAM166B FAM205A GBA2 KIF24 NFX1 TMEM8B UNC13B UBAP2 DNAJA1 PRSS3 SIT1 SIGMAR1 TESK1 SPINK4 APTX OR2S2"
44,5,0.9221,9.221,132.7,0.06069,0.996692,"USP17L13 FAM90A1 USP17L12 USP17L10 USP17L5"
45,6,0.9042,13.56,490.6,0.02628,0.998474,"ANGPT2 USP17L2 ZNF596 DEFA5 NPM2 DEFA1"
46,5,0.9005,9.005,188.1,0.04348,0.996692,"CASP2 CRADD FOPNL ANKRD26 PIDD1"
47,4,0.9824,5.894,156.9,0.03451,0.992931,"NFATC2 SOX10 MAPK1 MITF"
48,7,0.9120,19.15,727.9,0.02517,0.999299,"IGDCC3 BNIP2 MYZAP WDR76 AQP9 GNB5 USP50"
49,6,0.9045,13.57,476.2,0.02704,0.998474,"GNAZ ZNF74 RAB36 SUSD2 MMP11 IGLL5"
50,6,0.9265,13.90,573.0,0.02320,0.998474,"ZNF112 ZNF45 ZNF155 ZNF230 ZNF180 ZNF780B"
51,7,0.9055,19.02,550.6,0.03258,0.999299,"DDIT3 INHBC GLI1 DTX3 ERO1LB AVIL TSPAN31"
52,5,0.9013,9.013,339.3,0.02515,0.996692,"HIP1R HPD ACADS IL31 RNF34"
53,13,0.9006,70.24,886.8,0.07146,0.999993,"UNC5D ADAM2 ADAM32 PPAPDC1B ADRB3 RNF170 AP3M2 LETM2 CHRNA6 STAR CHRNB3 DKK4 NKX6-3"
54,17,0.9059,123.2,1694,0.06656,1.00000,"AEBP1 AVL9 DBNL GCK INHBA KIAA0895 MYO1G NPC1L1 PKD1L1 UBE2D4 URGCP VWC2 GHRHR ZMIZ2 POLM POU6F2 CCM2"
55,5,0.9324,9.324,373.3,0.02375,0.996692,"FBXL15 ELOVL3 CYP26A1 SEMA4G TMEM180"
56,6,0.9085,13.63,561.0,0.02323,0.998474,"PICK1 MICALL1 SSTR3 RAC2 PLA2G6 TRIOBP"
57,4,0.9452,5.671,317.1,0.01714,0.992931,"KBTBD11 ARHGEF10 NEIL2 C8orf48"
58,9,0.9097,32.75,224.1,0.1191,0.999853,"FURIN HSP90B1 CCDC134 CNPY2 IRS2 IGF1R OST4 OSTC STT3A"
59,4,0.9016,5.410,305.3,0.01697,0.992931,"SIGLEC11 NPAS1 CCDC61 CALM3"
60,10,0.9211,41.45,677.9,0.05606,0.999933,"IFNA6 IFNA1 IFNA16 IFNA21 IFNA8 IFNW1 IFNA5 LRRC19 IFNA4 KLHL9"
61,4,0.9422,5.653,329.5,0.01647,0.992931,"CCNDBP1 ADAL DAW1 EPB42"
62,7,0.9008,18.92,419.5,0.04181,0.999299,"ERCC6 GPRIN2 PTPN20B AGAP6 UBE2D1 PGBD3 AGAP5"
63,10,0.9030,40.64,900.4,0.04228,0.999933,"FAM19A3 GSTM4 RHOC PTPN22 GSTM2 GPSM2 SLC22A15 AMIGO1 KCND3 FAM212B"
64,11,0.9030,49.66,1192,0.03930,0.999969,"GMFG TIMM50 FXYD5 CATSPERG PLEKHG2 ZFP36 NCCRP1 SIRT2 ETV2 MAG MED29"
65,6,0.9218,13.83,451.1,0.02899,0.998474,"FAHD2A FAM178B KCNIP3 ANKRD39 ITPRIPL1 TRIM43"
66,9,0.9146,32.92,565.0,0.05346,0.999853,"TYW1 KCTD7 GUSB VKORC1L1 ZNF679 ERV3-1 ZNF736 ZNF479 ZNF727P"
67,7,0.9051,19.01,150.4,0.1036,0.999299,"KDM5A GATAD1 SIN3B KMT2E MORF4L1 PHF12 C11orf30"
68,16,0.9003,108.0,1432,0.06873,0.999999,"TIAM1 DNAJC28 KCNE1 C21orf91 KCNJ6 RUNX1 CHODL KCNE2 KRTAP19-1 KRTAP19-2 KRTAP19-3 KRTAP19-4 KRTAP19-7 KRTAP19-8 GRIK1 CLDN8"
69,5,0.9100,9.100,372.0,0.02327,0.996692,"DIS3L SEMA7A ADAMTS7 C15orf59 SKOR1"
70,10,0.9090,40.90,861.3,0.04435,0.999933,"RBPJL SLC13A3 PABPC1L EPPIN R3HDML PCIF1 PKIG WFDC11 YWHAB CTSA"
71,15,0.9027,94.78,1334,0.06497,0.999999,"CASQ2 KCNA10 TRIM45 PPM1J RHOC PTPN22 FNDC7 LRIF1 CYB561D1 SLC22A15 OVGP1 PROK1 VANGL1 FAM212B SYCP1"
72,6,0.9394,14.09,556.4,0.02419,0.998474,"CA7 GPR114 TK2 CMTM1 ZNF319 IL34"
73,14,0.9052,82.37,1430,0.05349,0.999997,"MTURN AEBP1 KIAA0895 PDE1C PRR15 WIPF3 DPY19L1 ADCYAP1R1 GHRHR NME8 RP9 SUGCT KBTBD2 BMPER"
74,13,0.9015,70.32,1153,0.05628,0.999993,"KCNA10 EPS8L3 PSRC1 SLC6A17 GNAT2 GPR61 SYPL2 CD101 HAO2 UBL4B CD53 KCND3 FAM212B"
75,4,0.9161,5.497,297.6,0.01767,0.992931,"LDB3 ELOVL3 CYP26A1 MMRN2"
76,16,0.9022,108.3,1774,0.05657,0.999999,"LRRC36 KIAA0895L NRN1L CA7 AGRP GPR114 PDP2 CES3 CMTM1 TMED6 ZDHHC1 CES2 ZFP1 LCAT HSF4 TPPP3"
77,8,0.9051,25.34,752.1,0.03194,0.999679,"FBXL15 HPS6 MORN4 PITX3 SEMA4G SFXN2 ZFYVE27 ARL3"
78,4,0.9119,5.471,62.89,0.07165,0.992931,"TXNDC17 CUL3 KEAP1 TXNRD1"
79,9,0.9016,32.46,714.0,0.04246,0.999853,"KCNJ12 EVPLL TRIM16L MYO15A TVP23C GRAP TBC1D28 UBB MAP2K3"
80,6,0.9215,13.82,403.8,0.03217,0.998474,"MRPS12 NDUFA6 ISCA1 GLRX5 IBA57 ISCA2"
81,5,0.9041,9.041,320.6,0.02662,0.996692,"PHKG1 ZNF716 ZNF679 SLC29A4 ZNF479"
82,4,0.9125,5.475,370.4,0.01426,0.992931,"KCNJ6 SETD4 KCNE2 RIMKLB"
83,15,0.9038,94.90,1504,0.05828,0.999999,"MTURN AEBP1 DBNL DFNA5 FAM188B FKBP9 KIAA0895 MYL7 SUMF2 VWC2 WIPF3 GHRHR BLVRA ELMO1 AMPH"
84,7,0.9125,19.16,600.0,0.03027,0.999299,"OVCA2 C17orf107 INCA1 CAMTA2 MINK1 ZZEF1 OR3A1"
85,10,0.9070,40.82,830.8,0.04578,0.999933,"LYPLA1 CA8 FAM110B NPBWR1 CEBPD MOS SOX17 C8orf22 NSMAF SPIDR"
86,4,0.9325,5.595,298.3,0.01794,0.992931,"RGMA TTC23 GDPGP1 IGF1R"
87,6,0.9274,13.91,611.5,0.02182,0.998474,"ZFP36 C19orf54 LRP3 IGFLR1 SLC7A10 ZNF792"
88,5,0.9050,9.050,385.3,0.02238,0.996692,"ATP2A1 MAPK3 APOBR CLN3 PRR14"
89,5,0.9303,9.303,411.4,0.02160,0.996692,"SERINC4 EID1 TMEM62 CKMT1B SPESP1"
90,10,0.9108,40.98,960.6,0.04012,0.999933,"HKR1 ZNF569 ZNF382 ZNF585B ZNF420 ZFP14 ZNF790 ZNF571 ZFP82 ZNF383"
91,9,0.9059,32.61,927.0,0.03336,0.999853,"CLIP3 ZNF569 ZNF585B FXYD3 FXYD1 APLP1 WDR87 ZNF599 ZNF566"
92,5,0.9074,9.074,350.8,0.02453,0.996692,"RIOK3 DSG3 CABLES1 CHST9 GATA6"
93,5,0.9050,9.050,378.0,0.02279,0.996692,"MFSD10 QDPR MRFAP1L1 LRPAP1 DOK7"
94,4,0.9476,5.686,85.90,0.05709,0.992931,"E2F3 TFDP1 E2F1 CCNF"
95,5,0.9402,9.402,355.3,0.02509,0.996692,"SLCO1A2 GYS2 MANSC4 TDG ERGIC2"
96,7,0.9791,20.56,183.8,0.09416,0.999299,"ATM MDM2 CHEK2 TP53 USP28 CDKN1A TP53BP1"
97,8,0.9309,26.06,614.7,0.03969,0.999679,"MIER3 NDUFS4 ANKRD55 SETD9 CD180 GPBP1 FST ITGA2"
98,5,0.9010,9.010,309.8,0.02740,0.996692,"ZBTB45 ZNF135 ZSCAN18 ZNF606 ZNF417"
99,4,0.9015,5.409,327.6,0.01586,0.992931,"INHBE KIF5A SP7 WIBG"
100,4,0.9230,5.538,98.12,0.04960,0.992931,"BARD1 BRCA1 BRCA2 PALB2"
101,7,0.9061,19.03,582.4,0.03092,0.999299,"USP17L2 DOK2 TNFRSF10D PDGFRL SPAG11B ZDHHC2 CLDN23"
102,5,0.9028,9.028,437.1,0.01979,0.996692,"CLK2 RXFP4 HAPLN2 TTC24 IQGAP3"
103,15,0.9030,94.82,1705,0.05181,0.999999,"CD22 ZNF569 SCGB2B2 FFAR1 FXYD1 APLP1 ZNF571 CCER2 UPK1A ZNF302 SBSN ETV2 LGALS4 MAG ZNF599"
104,4,0.9077,5.446,329.9,0.01586,0.992931,"AOC2 HSPB9 ANKRD40 KRT28"
105,6,0.9031,13.55,511.1,0.02524,0.998474,"OPRK1 GGH SNTG1 PENK NSMAF SPIDR"
106,6,0.9129,13.69,434.3,0.02977,0.998474,"PARP4 ZMYM5 IFT88 ZDHHC20 MPHOSPH8 CRYL1"
107,4,0.9403,5.642,66.18,0.07068,0.992931,"NIPBL PRR12 MAU2 PAXIP1"
108,8,0.9132,25.57,646.1,0.03718,0.999679,"MMD2 AMZ1 CYP2W1 MICALL2 GPR146 OCM KDELR2 SNX8"
109,7,0.9034,18.97,538.2,0.03321,0.999299,"KATNAL2 PSTPIP2 DSG1 CELF4 ZBTB7C SETBP1 ST8SIA5"
110,8,0.9098,25.48,762.9,0.03167,0.999679,"PPIB DAPK2 BNIP2 KIAA0101 CSNK1G1 SNX22 FBXL22 USP3"
111,5,0.9302,9.302,389.9,0.02273,0.996692,"PDE9A IGSF5 SLC37A1 SIK1 DIP2A"
112,8,0.9085,25.44,663.1,0.03611,0.999679,"RASL10B C17orf50 C17orf75 MRM1 MYO19 DHRS11 GAS2L2 PIGW"
113,7,0.9003,18.91,552.0,0.03232,0.999299,"AARSD1 CCR10 EZH1 IFI35 PTGES3L RND2 VAT1"
114,4,0.9119,5.471,284.3,0.01837,0.992931,"TEX37 GNLY CD8A REEP1"
115,13,0.9001,70.21,1253,0.05202,0.999993,"STC1 FUT10 PTK2B SCARA3 EBF2 SARAF DOK2 BIN3 GFRA2 TEX15 TNFRSF10D ADAMDEC1 PBK"
116,4,0.9286,5.571,280.7,0.01893,0.992931,"ISG20 ANPEP FSD2 HDGFRP3"
117,6,0.9008,13.51,491.0,0.02616,0.998474,"DSG3 CABLES1 TPGS2 ZBTB7C SLC14A1 GATA6"
118,7,0.9257,19.44,555.2,0.03303,0.999299,"RIN2 CSTL1 APMAP ZNF337 SLX4IP PAX1 ANKEF1"
119,6,0.9072,13.61,442.1,0.02910,0.998474,"DNASE2 PCP2 TRMT1 RAD23A MAST1 SYCE2"
120,7,0.9252,19.43,618.2,0.02981,0.999299,"ABCC12 CCDC135 CETP MT1B MT1F NLRC5 MT1G"
121,14,0.9018,82.06,1149,0.06517,0.999997,"NAT16 FBXO24 PCOLCE ZSCAN25 C7orf61 AGFG2 C7orf43 IFT22 MOGAT3 NYAP1 ALKBH4 CNPY4 LRCH4 PILRA"
122,8,0.9060,25.37,552.6,0.04271,0.999679,"OSBPL1A RIOK3 DSG1 C18orf8 ANKRD29 CABLES1 CHST9 NPC1"
123,8,0.9126,25.55,508.0,0.04650,0.999679,"ITPR2 C12orf77 METTL20 RASSF8 IL17RE AMN1 H3F3C BHLHE41"
124,12,0.9050,59.73,951.2,0.05771,0.999986,"DUSP15 HCK MYLK2 ZNF341 DEFB124 KIF3B BPIFA1 BPIFA3 DEFB115 NOL4L DEFB119 DEFB123"
125,10,0.9054,40.74,222.6,0.1438,0.999933,"ARPC2 ARPC4 ABI1 ACTR2 ACTR3 ARPC3 BRK1 NCKAP1 RAC1 WASF2"
126,5,0.9146,9.146,453.5,0.01935,0.996692,"HSPBP1 PTPRH NLRP11 FIZ1 TNNI3"
127,5,0.9356,9.356,392.0,0.02274,0.996692,"DESI1 MCHR1 MEI1 CHADL DNAJB7"
128,12,0.9006,59.44,1044,0.05273,0.999986,"AARD C8orf76 CDK5 KLHL38 MTSS1 NOV RNF139 SLC30A8 SNTB1 TRIB1 WDYHV1 ZNF572"
129,4,0.9475,5.685,100.5,0.04979,0.992931,"PCGF1 EZH2 SUZ12 RING1"
130,7,0.9116,19.14,542.2,0.03327,0.999299,"SEPT12 CORO7 GLIS2 ZNF213 NMRAL1 C16orf90 ANKS3"
131,6,0.9030,13.55,415.4,0.03072,0.998474,"IQCF3 ITIH1 MUSTN1 SEMA3G TLR9 IQCF2"
132,4,0.9218,5.531,125.2,0.03986,0.992931,"ORC6 ORC3 ORC5 ORC2"
133,9,0.9154,32.96,757.7,0.04075,0.999853,"POM121C TYW1 TBL2 FKBP6 GTF2IRD2 TRIM50 LAT2 VPS37D TRIM73"
134,8,0.9216,25.80,686.0,0.03546,0.999679,"HAP1 KLHL10 FKBP10 KRT19 KRTAP4-2 LEPREL4 GAST KRT31"
135,6,0.9251,13.88,444.6,0.02950,0.998474,"KRTAP10-6 PCBP3 TRAPPC10 ITGB2 COL18A1 TRPM2"
136,4,0.9048,5.429,319.0,0.01633,0.992931,"C1orf216 FAM167B FABP3 ZBTB8B"
137,9,0.9032,32.51,768.3,0.03971,0.999853,"RIIAD1 SELENBP1 CD1C CIART FAM63A HFE2 ZNF687 ECM1 RORC"
138,13,0.9019,70.35,942.9,0.06769,0.999993,"SEPT1 C16orf92 DOC2A BOLA2 ITGAX SLX1A HSD3B7 LAT MAZ SULT1A2 ITGAD KIF22 ZNF764"
139,4,0.9105,5.463,286.4,0.01822,0.992931,"SLC25A11 AIPL1 FAM64A MYH10"
140,8,0.9061,25.37,193.1,0.1082,0.999679,"ARPC2 ARPC4 ABI1 ACTR2 ACTR3 ARPC3 BRK1 WASL"
141,4,0.9033,5.420,294.7,0.01759,0.992931,"NHLRC3 DNAJC15 FOXO1 RGCC"
142,17,0.9059,123.2,1385,0.07990,1.00000,"DDIT3 INHBC GLI1 AGAP2 INHBE SLC26A10 ARHGAP9 DTX3 KIF5A METTL21B ARHGEF25 B4GALNT1 AVIL MARCH9 OS9 PIP4K2C TSPAN31"
143,6,0.9304,13.96,465.7,0.02838,0.998474,"GPR142 KCTD2 KIF19 MIF4GD OTOP2 TTYH2"
144,4,0.9036,5.421,275.0,0.01880,0.992931,"CNTNAP1 EZH1 RND2 FAM134C"
145,7,0.9129,19.17,759.6,0.02418,0.999299,"NRN1L GPR114 PDP2 CES3 CES4A SLC7A6 TMEM208"
146,7,0.9312,19.55,219.7,0.07720,0.999299,"CCDC77 SPICE1 PCM1 WRAP73 KIAA1731 CEP135 CEP44"
147,6,0.9203,13.81,466.5,0.02804,0.998474,"ASPSCR1 FAM195B NARF PYCR1 SECTM1 FOXK2"
148,5,0.9219,9.219,409.8,0.02149,0.996692,"TMEM8C STKLD1 DBH SARDH VAV2"
149,6,0.9532,14.30,196.1,0.06430,0.998474,"DGCR8 UFD1L DGCR14 PPIL2 TFIP11 SNRPD3"
150,4,0.9225,5.535,271.5,0.01942,0.992931,"NFIX RTBDN DAND5 ZNF136"
151,5,0.9044,9.044,427.7,0.02024,0.996692,"NRN1L ZNF23 PHLPP2 TERF2IP CDH11"
152,6,0.9126,13.69,516.4,0.02525,0.998474,"TBC1D16 AFMID ENGASE LGALS3BP TMEM235 RBFOX3"
153,7,0.9254,19.43,320.5,0.05491,0.999299,"SPATA31A6 AQP7 CNTNAP3B ANKRD20A2 CNTNAP3 ZNF658 ZNF850"
154,9,0.9239,33.26,229.0,0.1187,0.999853,"FURIN IRS1 HSP90B1 CCDC134 CNPY2 IRS2 IGF1R OSTC STT3A"
155,5,0.9160,9.160,367.2,0.02371,0.996692,"CLSTN3 ACRBP APOBEC1 LPCAT3 MLF2"
156,9,0.9004,32.41,835.6,0.03659,0.999853,"YPEL1 LRRC75B EMID1 SDF2L1 ZNF280B C22orf15 RGL4 ZDHHC8 GGTLC2"
157,7,0.9130,19.17,648.5,0.02813,0.999299,"DMPK CCDC61 EML2 PNMAL2 NANOS2 PTGIR GPR4"
158,6,0.9114,13.67,155.3,0.07553,0.998474,"PPCDC NMNAT1 IPPK NAMPT RFK UMPS"
159,3,1.000,3.000,29.56,0.07780,0.986587,"STXBP3 STX4 SNAP23"
160,5,0.9254,9.254,389.3,0.02265,0.996692,"AIF1L LHX3 FAM78A LAMC3 SH3GLB2"
161,4,0.9018,5.411,266.4,0.01934,0.992931,"KIF13B ENTPD4 CLU GSR"
162,6,1.000,15.00,56.53,0.1796,0.983685,"SECISBP2 SEPSECS GPX4 PSTK EEFSEC SEPHS2"
163,5,0.9603,9.603,63.69,0.1153,0.996692,"NIPBL SMC3 PAGR1 MAU2 PAXIP1"
164,5,0.9020,9.020,113.9,0.06786,0.996692,"RELA ZNF638 RNF31 NCOA5 CFLAR"
165,6,0.9019,13.53,135.6,0.08395,0.998474,"PRPF39 ANAPC13 ANAPC15 UBE2S TRNAU1AP UBE2C"
166,5,0.9374,9.374,357.0,0.02490,0.996692,"MBTD1 ACSF2 MYCBPAP NME1 ANKRD40"
167,4,0.9139,5.484,262.8,0.01985,0.992931,"CIDEA TUBB6 SPIRE1 TWSG1"
168,8,0.9123,25.54,188.5,0.1111,0.999679,"TFPT INO80B NFRKB UCHL5 ACTR5 ACTR8 INO80 INO80E"
169,9,0.9227,33.22,201.4,0.1315,0.999853,"VPS36 CLTC USP8 UBAP1 CHMP5 TFG VPS37A PTPN23 HGS"
170,10,0.9013,40.56,796.3,0.04733,0.999933,"SLC13A3 EPPIN R3HDML SDC4 PCIF1 PKIG WFDC11 ZSWIM3 CTSA WFDC12"
171,5,0.9590,9.590,102.1,0.07884,0.996692,"BCAR1 ELMO2 ITGB5 ITGAV PTK2"
172,20,0.9013,171.3,1689,0.09012,1.00000,"TM9SF4 BPIFB6 DNMT3B DUSP15 FOXS1 HCK MYH7B MYLK2 XKR7 ZNF341 BPIFA2 ACTL10 BPIFB4 KIF3B BPIFB1 BPIFA1 BPIFB2 GHRH SNTA1 BPIFA3"
173,4,0.9473,5.684,129.1,0.03981,0.992931,"TCF12 RC3H1 TCF3 ID2"
174,7,0.9038,18.98,605.9,0.02971,0.999299,"LACTB2 CPNE3 SLC26A7 PKIA IL7 RALYL ZNF704"
175,3,0.9686,2.906,40.79,0.05848,0.985452,"SIRT1 CREBBP EP300"
176,8,0.9440,26.43,166.4,0.1266,0.999679,"METTL14 KIAA1429 ZC3H13 WTAP RBM15 YTHDF2 METTL3 CBLL1"
177,5,0.9967,9.967,88.22,0.09213,0.996692,"E2F3 CCNE1 CKS1B CDK2 SKP2"
178,4,0.9445,5.667,241.5,0.02221,0.992931,"LHCGR OXER1 STON1 PLEKHH2"
179,4,0.9824,5.894,102.1,0.05084,0.992931,"SMARCC2 ARID1A SMARCC1 SMARCE1"
180,4,0.9359,5.616,264.3,0.02021,0.992931,"ACSM3 TMC5 SYT17 THUMPD1"
181,4,0.9108,5.465,327.6,0.01602,0.992931,"NTN5 PPFIA3 SULT2B1 RASIP1"
182,4,0.9261,5.557,95.09,0.05114,0.992931,"CRLS1 YME1L1 SAMM50 DNAJC11"
183,5,0.9403,9.403,174.9,0.04840,0.996692,"SNAPIN VPS35 AP3B1 VPS26A VPS39"
184,16,0.9010,108.1,1252,0.07768,0.999999,"KRTAP23-1 KRTAP8-1 KRTAP27-1 KCNJ6 KRTAP24-1 KRTAP19-1 KRTAP19-3 KRTAP19-4 KRTAP19-6 KRTAP19-7 KRTAP19-8 KRTAP20-1 KRTAP21-3 KRTAP26-1 KRTAP13-4 KRTAP6-1"
185,5,0.9475,9.475,166.8,0.05086,0.996692,"CSPG4 ADAMTS7 GOLGA6B GOLGA6L10 UBE2Q2L"
186,10,0.9054,40.74,714.5,0.05256,0.999933,"LAMA3 CABYR ABHD3 ANKRD29 CABLES1 CHST9 ESCO1 HRH4 MAPRE2 ZNF396"
187,4,0.9426,5.655,143.1,0.03608,0.992931,"OR5K1 OR5H15 COL8A1 OR5H1"
188,24,0.9002,248.5,1800,0.1185,1.00000,"AARD ANXA13 ATAD2 C8orf76 COL14A1 COLEC10 DEPTOR ENPP2 FAM83A FAM84B FBXO32 FER1L6 KLHL38 MTSS1 NOV RNF139 SLC30A8 SNTB1 TNFRSF11B TRMT12 WDYHV1 ZHX1 ZHX2 ZNF572"
189,4,0.9227,5.536,54.33,0.08158,0.992931,"ATP1B3 TMEM161B ATP1A1 TMX2"
190,15,0.9001,94.51,1262,0.06818,0.999999,"MRPS35 MARS2 MRPL17 MRPS11 MRPS12 MRPS18B MRPS22 MRPS23 MRPS24 MRPS6 TARS2 MRPS34 MRPS16 MRPS18C ISCA2"
191,8,0.9238,25.87,352.9,0.06552,0.999679,"BDNF LDLRAD3 CAT ELF5 FJX1 PAMR1 PDHX EHF"
192,4,0.9131,5.479,268.3,0.01945,0.992931,"ANP32E S100A2 S100A4 RAB13"
193,4,0.9314,5.588,115.0,0.04345,0.992931,"MGAT1 MGAT2 MAN1A2 SLC39A9"
194,4,0.9953,5.972,127.5,0.04221,0.992931,"UQCC3 UQCC2 UQCC1 C6orf136"
195,5,0.9178,9.178,453.2,0.01943,0.996692,"INHBE PRPF40B GRASP TBC1D30 LARP4"
196,8,0.9090,25.45,761.7,0.03169,0.999679,"PMP22 LLGL1 TRIM16L ALDH3A1 TRPV2 USP22 MIEF2 AKAP10"
197,4,0.9960,5.976,80.95,0.06296,0.992931,"SLC3A2 TRPM7 SLC7A5 SLC7A1"
198,4,0.9403,5.642,145.6,0.03542,0.992931,"PHC3 EZH2 RING1 BMI1"
199,5,0.9238,9.238,351.1,0.02494,0.996692,"WNT2 TES TSC22D4 CFTR ASZ1"
