Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
11,5,0.9581,9.581,77.59,0.09860,0.996692,"UBA6 PPP1R15B BIRC6 KCMF1 UBR4"
12,51,0.5018,639.8,3443,0.1529,1.00000,"STRC SQRDL SERINC4 C15orf62 MAPKBP1 PAK6 SLC24A5 DLL4 C15orf52 RMDN3 EID1 LPCAT4 RASGRP1 TYRO3 STARD9 ELL3 TMEM62 MYZAP WDR76 PLCB2 DUOXA1 GCHFR MAP1A SPINT1 CHRNA7 CAPN3 CYP19A1 DUOX1 FBN1 GANC PPP1R14D RPUSD2 FRMD5 PLA2G4D APBA2 TMCO5A ADAL BAHD1 BMF CKMT1B DUOXA2 EPB42 GNB5 JMJD7 PLA2G4F SHC4 TMEM87A USP50 HDC PLA2G4E C15orf53"
13,30,0.4705,204.7,1597,0.1099,1.00000,"APBB2 CHRNA9 TXK BEND4 ATP10D GABRA4 GRXCR1 SMIM14 SLAIN2 OCIAD1 TBC1D1 TEC CNGA1 COMMD8 CWH43 TLR6 WDR19 SLC10A4 ZAR1 DCAF4L1 GABRB1 OCIAD2 NIPAL1 CORIN GABRG1 COX7B2 FRYL RFC1 KCTD8 ATP8A1"
14,65,0.4415,918.3,4367,0.1696,1.00000,"HPS1 APOBEC3G APOL1 BAIAP2L2 CBX6 CYTH4 FOXRED2 IL2RB KCTD17 MB MCHR1 MGAT3 PICK1 SLC25A17 SYNGR1 TNRC6B CACNA1I CBY1 MICALL1 ISX KDELR3 RFPL3 JOSD1 GAL3ST1 TMEM184B NCF4 APOL6 HMGXB4 SEC14L3 APOL2 IFT27 APOL5 SH3BP1 LGALS1 ELFN2 MAFF TMPRSS6 SSTR3 SLC5A1 SUN2 EMID1 PATZ1 SEC14L6 C1QTNF6 ANKRD54 GRAP2 DNAL4 KCNJ4 APOBEC3A APOL3 C22orf23 CSF2RB DMC1 HMOX1 RASD2 SEC14L2 TEX33 PVALB RAC2 LGALS2 MFNG TRIOBP CARD10 APOBEC3D CACNG2"
15,57,0.4681,747.1,3702,0.1637,1.00000,"LYPLA1 OPRK1 XKR9 XKR4 CA8 CLVS1 CYP7A1 FAM110B GGH HEY1 NPBWR1 TOX ZFHX4 ADHFE1 CPA6 TRPA1 C8orf34 LY96 ZBTB10 PCMTD1 TMEM68 CNGB3 SNTG1 PDE7A EFCAB1 ST18 RAD54B CEBPD TRAM1 TRIM55 MOS RAB2A LACTB2 TTPA PENK SOX17 SDR16C5 PRDM14 DNAJC5B SLCO5A1 C8orf22 LYN MCMDC2 NKAIN3 PKIA C8orf44 CHCHD7 CRH MTFR1 NSMAF PXDNL RP1 SULF1 UBE2V2 UBXN2B SDCBP SPIDR"
16,98,0.5004,2378,5558,0.2924,0.997979,"HKR1 GMFG TIMM50 CNTD2 LRFN3 TTC9B DPY19L3 DLL3 SELV HPN CD22 CLIP3 ZNF569 SCGB2B2 FXYD5 MAP4K1 PAPL RGS9BP LGALS13 CATSPERG NUDT19 FFAR1 FCGBP U2AF1L4 SLC7A9 FXYD7 ZNF585B CAPNS1 FXYD3 PLEKHG2 ZFP36 ZNF790 FAM187B DYRK1B PRX SDHAF1 APLP1 YIF1B CEP89 PPP1R14A SPRED3 SYNE4 CHST8 NCCRP1 WDR88 NPHS1 ZNF461 PEPD TDRD12 HCST LRFN1 GGN ZBTB32 ZNF571 CCER2 LGALS14 LGI4 SIRT2 UPK1A ZNF302 GAPDHS LRP3 FAM98C SBSN EID2B GRAMD1A RYR1 ZNF546 WDR87 ZNF536 ETV2 LGALS4 TMEM147 ZNF780B FFAR3 MAG KRTDAP ALKBH6 ARHGAP33 FFAR2 IGFLR1 KMT2B NFKBID PLEKHF1 THAP8 ZNF599 RASGRP4 EID2 KCNK6 SLC7A10 TSHZ3 LIN37 ZNF793 KCTD15 DMKN LGALS7B ZNF792 LSM14A"
17,45,0.5006,495.5,3363,0.1255,1.00000,"RIPK2 TMEM67 XKR9 NIPAL2 FABP4 TMEM64 CA2 CA3 CA8 GGH SLC7A13 SNX16 ZFHX4 ADHFE1 KLF10 CPA6 TRPA1 CNGB3 C8orf88 PDE7A STK3 RAD54B CEBPD TRIM55 MOS LACTB2 SLC26A7 ZFAND1 PRDM14 DNAJC5B KCNB2 C8orf22 LYN MCMDC2 NKAIN3 PKIA C8orf46 CHCHD7 CHMP4C CRH CSPP1 ESRP1 NSMAF PAG1 SULF1"
18,7,0.6519,13.69,236.7,0.05177,0.999299,"HERC2 GOLGA6L9 CSPG4 ADAMTS7 GOLGA6B GOLGA6L10 UBE2Q2L"
19,32,0.5018,248.9,2053,0.1052,1.00000,"PARP4 TNFRSF19 WASF3 SPATA13 ATP8A2 RNF17 N6AMT2 GJB2 URAD ZMYM5 KATNAL1 FGF9 RNF6 N4BP2L2 ZAR1L IFT88 SPERT AMER2 TPTE2 MICU2 N4BP2L1 C1QTNF9 B3GALTL ZMYM2 MPHOSPH8 POLR1D PABPC3 CRYL1 PDS5B ATP12A SHISA2 GJB6"
20,95,0.4055,1811,5176,0.2523,1.00000,"MTURN FAM126A GGCT HOXA13 IGFBP3 RAPGEF5 HOXA5 ABCA13 ABCB5 AEBP1 AVL9 C7orf72 CRHR2 DBNL DFNA5 FAM188B FIGNL1 FKBP9 GCK GLI3 INHBA KIAA0895 LRRC72 MYL7 MYO1G NPC1L1 NUPR1L PDE1C PHKG1 PKD1L1 POM121L12 PRR15 PSPH SEPT14 SUMF2 TNS3 UBE2D4 UPP1 URGCP VSTM2A VWC2 WIPF3 ZNF713 ZPBP DPY19L1 HOXA1 ADCYAP1R1 AGR2 AGR3 CBX3 FAM221A GHRHR GPNMB HERPUD2 HOXA11 HOXA6 HOXA7 ITGB8 NME8 NPSR1 NPY RP9 SNX10 STK17A SUGCT TBRG4 TMED4 ZMIZ2 SKAP2 HOXA2 LANCL2 COA1 FKBP14 EEPD1 PGAM2 KLHL7 HOXA3 GBAS ZNRF2 NOD1 HIBADH STEAP1B BLVRA KBTBD2 HECW1 POLM PPP1R17 BMPER C7orf31 ELMO1 GRB10 POU6F2 NT5C3A AMPH CCM2"
21,6,0.5064,7.595,433.1,0.01678,0.998474,"CA3 GEM PPBP FGL1 CCDC174 IL13"
22,4,0.5059,3.035,112.2,0.02464,0.992931,"ACSL3 NEURL1B KRTAP5-11 MAP3K6"
23,7,0.5057,10.62,445.2,0.02260,0.999299,"TNFAIP6 FAM168B IL18RAP ZNF385B DIRC1 DBI MZT2B"
24,22,0.5160,119.2,505.2,0.1783,0.999996,"PCNT TUBE1 RTTN CCDC77 CENPJ FGFR1OP TRIM37 PCM1 SASS6 CEP152 WRAP73 CEP120 KIAA1731 C14orf80 C16orf59 STIL CEP135 CCP110 PLK4 CEP44 PPP2R3C TUBD1"
25,16,0.5040,60.48,1219,0.04612,0.999999,"MTFR1L NCMAP SFN WDTC1 ZNF436 MYOM3 LUZP1 WNT4 NR0B2 FCN3 FAM76A TMCO4 CATSPER4 TRNP1 FUCA1 XKR8"
26,27,0.5016,176.1,2125,0.07477,1.00000,"PPIB IGDCC3 DAPK2 BNIP2 NOX5 KIAA0101 TLN2 MYZAP DPP8 CSNK1G1 APH1B FOXB1 HAUS2 ANKDD1A AQP9 GNB5 USP50 PLEKHO2 SNX22 PYGO1 SCAMP2 FBXL22 BCL2L10 USP3 TPM1 PARP16 SNX1"
27,5,0.5668,5.668,340.4,0.01592,0.996692,"RHO SCGB1A1 C2orf61 KIF9 SSX2IP"
28,97,0.4070,1895,4274,0.2978,0.975241,"CASQ2 CD58 NTNG1 KCNA10 GSTM3 TRIM45 AMPD2 PALMD C1orf162 RSBN1 SYT6 ZNF697 AKNAD1 CELSR2 CHIA EPS8L3 FAM19A3 FRRS1 MOV10 PSRC1 RWDD3 SLC6A17 ST7L PPM1J SORT1 GSTM4 LRIG2 TSHB RHOC BCL2L15 ATXN7L2 CSF1 NRBF2 GNAT2 TMEM167B WDR47 FAM46C PTPN22 GNAI3 MAGI3 DENND2C MYBPHL OLFML3 FNDC7 TBX15 C1orf194 HIPK1 HENMT1 KCNC4 HMGCS2 TSPAN2 SIKE1 AMPD1 SPAG17 GSTM2 CAPZA1 GPR61 CYB561D1 PHTF1 SYPL2 PIFO CD101 DRAM2 ADAM30 C1orf137 GPSM2 GSTM5 HAO2 HSD3B1 HSD3B2 NGF REG4 SLC22A15 UBL4B VTCN1 CHI3L2 OVGP1 ADORA3 RAP1A CD2 DENND2D AMIGO1 AMY1A AMY2B CD53 EXTL2 KCND3 PROK1 SLC16A4 VANGL1 FAM212B PHGDH ALX3 AMY2A NBPF6 SYCP1 PTGFRN"
29,17,0.4839,65.81,517.7,0.1066,1.00000,"KARS GINS3 AARS CENPT CIAPIN1 GINS2 NUDT21 POLR2C SF3B3 SLC7A6OS ORC6 CDT1 CFDP1 ZC3H18 NUP93 BANP DHX38"
30,7,0.5937,12.47,85.26,0.1116,0.999299,"C7orf26 BRAT1 INTS10 ASUN SNRPB2 VWA9 WDR73"
31,81,0.4858,1574,3834,0.2826,0.997082,"TM9SF4 COMMD7 LBP C20orf173 ASIP BPIFB6 CCM2L CPNE1 DLGAP4 DNMT3B DUSP15 FAM83C FOXS1 HCK ITCH MYH7B MYLK2 NNAT SAMHD1 SOGA1 TP53INP2 XKR7 ZNF341 BPIFA2 OCSTAMP DEFB116 NCOA6 ERGIC3 C20orf144 PLAGL2 PXMP4 CBFA2T2 CDK5RAP1 NECAB3 ASXL1 DEFB124 CEP250 BPI HM13 ACTL10 BPIFB3 BPIFB4 SUN5 KIF3B MAP1LC3A SPAG4 BPIFB1 POFUT1 BPIFA1 BPIFB2 GHRH SNTA1 VSTM2L BPIFA3 CNBD2 DEFB118 EPB41L1 GGT7 KIAA1755 MAPRE1 MYL9 PPP1R16B RALY SCAND1 SLA2 TLDC2 COX4I2 DEFB115 C20orf24 EDEM2 TGIF2 RBL1 NOL4L GDF5 DEFB121 MMP24 REM1 PIGU DEFB119 SRC DEFB123"
32,6,0.5128,7.692,402.0,0.01824,0.998474,"TMEM69 MTRNR2L8 MTRNR2L2 SNAPC1 PPIP5K2 CDV3"
33,26,0.5015,163.0,1871,0.07812,1.00000,"CGB2 COX6B2 ISOC2 SHISA7 SMIM17 ZSCAN5A FCAR KIR2DL3 LAIR2 LILRA2 LILRA1 LILRB2 LAIR1 ZNF28 PTPRH NLRP11 KIR2DL4 ZFP28 TNNI3 LILRB4 BRSK1 KIR3DL1 PSG8 PSG4 ZSCAN5B KIR2DL1"
34,45,0.4399,435.5,2681,0.1358,1.00000,"ETV3L RXFP4 DCST2 BGLAP C1orf61 IL6R UBQLN4 AQP10 CD1D KRTCAP2 FCRL3 THBS3 TRIM46 S100A12 DCST1 HFE2 SHE TNFAIP8L2 NES SEMA4A RUSC1 OR10X1 MUC1 PKLR EFNA4 HAPLN2 RRNAD1 TSACC TTC24 INSRR SLC50A1 PAQR6 PBXIP1 PEAR1 SLC25A44 TMEM79 YY1AP1 GBA FAM189B MEX3A RAB25 UBE2Q1 FCRL5 SYT11 ARHGEF11"
35,72,0.4596,1175,3514,0.2431,1.00000,"TMEM211 CECR1 GSTT2 TSSK2 C22orf39 MIF MPPE1 DGCR6L CRYBB2 YPEL1 ARVCF SLC2A11 RTDR1 CLTCL1 CLDN5 GSTT2B HIC2 KLHL22 SLC7A4 GUCD1 LRRC75B VPREB1 ZNF74 DGCR6 TRMT2A BID DDTL CECR6 TXNRD2 SEPT5 USP18 RAB36 SUSD2 SDF2L1 SERPIND1 ADRBK2 UPB1 BCR ZNF280B DERL3 LZTR1 ADORA2A C22orf15 CCDC116 CHCHD10 GAB4 MMP11 PRAME RGL4 RIMBP3B THAP7 TPST2 TTC28 TUBA8 XKR3 ZDHHC8 TOP3B DGCR2 AIFM3 BCL2L13 DRICH1 RIMBP3 VPREB3 GGT1 COMT E2F6 GGTLC2 GP1BB P2RX6 TANGO2 CRYBA4 IL17RA"
36,5,0.5601,5.601,301.9,0.01764,0.996692,"LRRC49 GRAMD2 RAB11A BNC1 SPESP1"
37,25,0.5057,151.7,1559,0.08617,1.00000,"PSG2 ZNF285 RABAC1 CYP2B6 PSG6 CEACAM3 PSG1 CYP2A13 ARHGEF1 ZNF155 ZNF230 ZNF284 PSG5 PSG3 KCNN4 ZNF233 ZNF780B CEACAM6 ZNF222 CXCL17 PSG8 PSG11 PSG9 PSG4 KIR2DL1"
38,4,0.5306,3.184,159.7,0.01863,0.992931,"NPAS1 RAP1GAP2 TUBA3E TUBA3D"
39,17,0.5010,68.14,1234,0.05100,1.00000,"MAN2B2 SORCS2 S100P ZFYVE28 MFSD10 SH3BP2 NAT8L SH3TC1 TP53AIP1 ADD1 MRFAP1L1 PPP2R2C WDR19 GRK4 CLRN2 PGBD2 FGFBP2"
40,7,0.5389,11.32,86.19,0.1015,0.999299,"DYRK1A CCND1 CDK4 AMBRA1 CCND3 CDKN2C RB1"
41,57,0.4521,721.6,2989,0.1887,1.00000,"SERPINE1 CCDC132 NAT16 PLOD3 ACTL6B CLIP2 ZKSCAN1 AZGP1 CYP3A43 FBXO24 PCOLCE ZNF804B CLDN15 MBLAC1 MUC12 SRI GJC3 CUX1 ARPC1B ZSCAN25 CYP3A5 GATS SLC12A9 TSC22D4 C7orf61 AGFG2 AP4M1 C7orf43 FAM200A IFT22 MOGAT3 SAP25 NYAP1 FZD1 KPNA7 ZNF394 ALKBH4 CNPY4 CYP3A7 GIGYF1 PVRIG SLC26A5 TECPR1 ZNF789 UFSP1 ZSCAN21 GPC2 OR2AE1 UPK3BL ZCWPW1 LRCH4 EPO PILRA PILRB RASA4B ARMC10 ZNF3"
42,7,0.5046,10.60,573.2,0.01773,0.999299,"ACSBG1 WDR76 TMEM63A SHF LCMT2 MAN2C1 RPUSD2"
43,32,0.5012,248.6,2142,0.1013,1.00000,"COX6B2 DNAAF3 ISOC2 SHISA7 SMIM17 ZNF324B ZNF460 ZNF667 LENG9 ZNF579 LILRA2 EPN1 NLRP4 LAIR1 PPP1R12C NLRP9 PTPRH NLRP7 NLRP11 TMEM150B ZFP28 TNNI3 NLRP13 BRSK1 KIR3DL1 ZNF417 ZNF787 ZNF304 ZSCAN5B VN1R1 KIR2DL1 GP6"
44,49,0.5003,588.4,3537,0.1393,1.00000,"RIPK2 XKR9 FABP4 BAALC CA2 CA3 CA8 GGH ODF1 SLC7A13 SNX16 TMEM55A ZFHX4 ADHFE1 KLF10 CPA6 TRPA1 LY96 ZBTB10 CNGB3 PDE7A RAD54B CEBPD TRAM1 TRIM55 NECAB1 MOS LACTB2 TTPA SLC26A7 ZFAND1 PRDM14 DNAJC5B GDAP1 KCNB2 C8orf22 LYN MCMDC2 NKAIN3 PKIA CHCHD7 CHMP4C CRH CSPP1 ESRP1 NSMAF PAG1 SULF1 UBE2V2"
45,56,0.4313,664.2,3207,0.1668,1.00000,"CTHRC1 AARD ANXA13 ATAD2 BAALC C8orf76 CDK5 COL14A1 COLEC10 CSMD3 DCSTAMP DEPTOR DERL1 ENPP2 FAM83A FAM84B FBXO32 FER1L6 HAS2 KCNS2 KCNV1 KIAA0196 KLHL38 MTSS1 NCALD NOV ODF1 RGS22 RNF139 RRM2B RSPO2 SAMD12 SLC30A8 SNTB1 SYBU TMEM65 TNFRSF11B TRIB1 TRMT12 WDYHV1 ZFPM2 ZHX1 ZHX2 ZNF572 SDC2 CPQ ANGPT1 ZNF706 RIMS2 FBXO43 AZIN1 TMEM74 SNX31 FAM91A1 MMP16 TP53INP1"
46,18,0.4873,74.56,749.2,0.08672,1.00000,"GFPT2 SQSTM1 CBY3 DOK3 GRM6 RASGEF1C UIMC1 ZNF879 EIF4E1B PRR7 HMP19 PHYKPL MXD3 LTC4S RUFY1 RAB24 CREBRF ZNF454"
47,22,0.5025,116.1,1460,0.07166,1.00000,"SGCA PNPO SAMD14 DLX3 CALCOCO2 OSBPL7 ACSF2 MYCBPAP SKAP1 LRRC46 NGFR PRR15L SP6 TBX21 MYL4 HOXB9 SNX11 RSAD1 SCRN2 ZNF652 TBKBP1 FAM117A"
48,5,0.5310,5.310,339.4,0.01497,0.996692,"C2CD4B OTP SERPINA12 SLC25A47 IL1R1"
49,67,0.5009,1108,3884,0.2161,1.00000,"STC1 LEPROTL1 KIAA1456 PRSS55 PIWIL2 MSR1 SFTPC NAT1 PHYHIP KIF13B DMTN SORBS3 FUT10 SCARA5 EGR3 SGCZ DEFB104A FGF17 USP17L2 ENTPD4 BMP1 CHRNA2 PTK2B SCARA3 EBF2 FZD3 SARAF PPP3CC DOK2 BIN3 STMN4 EPHX2 TNFRSF10A FAM160B2 NPM2 PNOC SLC7A2 MYOM2 GFRA2 PEBP4 DEFB103B ADAM28 TEX15 TNFRSF10D ADAM7 ADAMDEC1 ADRA1A C8orf58 CDCA2 CSGALNACT1 DEFB105A DEFB106A DEFB4A DPYSL2 LOXL2 MSRA PBK PDLIM2 PRR23D2 RHOBTB2 SGK223 SPAG11B TNFRSF10B TNFRSF10C ZDHHC2 CLU DEFB107B"
50,10,0.5020,22.59,722.9,0.02951,0.999933,"ZNF436 LUZP1 MATN1 FAM229A ZMYM6 ADPRHL2 CSF3R AGO1 HPCA SLFNL1"
51,46,0.4609,477.0,2368,0.1624,1.00000,"AATK ASPSCR1 BAIAP2 ENTHD2 FAM195B P4HB ZNF750 SLC38A10 ACTG1 C17orf62 C17orf70 CCDC137 DCXR DUS1L FSCN2 GCGR HEXDC LRRC45 MAFG MYADML2 NARF NPB NPTX1 OGFOD3 OXLD1 PPP1R27 PYCR1 RAB40B RAC3 RBFOX3 RFNG SECTM1 SLC16A3 SLC25A10 TEX19 TMEM105 UTS2R STRA13 PDE6G FN3KRP ARHGDIA METRNL CD7 WDR45B CSNK1D B3GNTL1"
52,7,0.5599,11.76,155.3,0.06493,0.999299,"NOP2 DDX47 ASUN NCAPD2 MED21 CHD4 MAGOH"
53,33,0.4871,257.2,1985,0.1114,1.00000,"ANO6 LMBR1L ARF3 LRRK2 SCAF11 SLC38A4 CCDC184 ASIC1 ENDOU NELL2 PUS7L VDR PRPF40B TMEM106C HDAC7 ZNF641 GRASP ANP32D GXYLT1 POU6F1 CCDC65 C12orf54 LALBA PRKAG1 TMEM117 ASB8 OR8S1 OR10AD1 SLC38A2 CACNB3 YAF2 PRICKLE1 COL2A1"
54,45,0.4186,414.4,2067,0.1612,1.00000,"DEFB125 SLC23A2 DEFB132 PROKR2 TGM3 ATRN HSPA12B RNF24 BMP2 UBOX5 RASSF2 SIGLEC1 SMOX SPEF1 OXT PCED1A C20orf27 PTPRA GNRH2 SLX4IP PRNP GFRA4 EBF4 SDCBP2 ADAM33 C20orf141 HAO1 SIRPA CDC25B PDYN ADRA1D AP5S1 AVP C20orf194 ITPA LZTS3 MAVS PRND RSPO4 SIRPG TMEM239 C20orf202 SIRPB2 SIRPB1 RAD21L1"
55,18,0.5001,76.51,1201,0.05826,1.00000,"C14orf1 ACOT6 GALNT16 LRRC74A ALDH6A1 HEATR4 LTBP2 PTGER2 TMEM63C GPATCH2L RTN1 ZBTB25 PLEKHD1 VRTN PROX2 TMED8 VASH1 TGFB3"
56,49,0.5004,588.4,3130,0.1542,1.00000,"PLD2 BCL6B TMEM256 SAT2 TMEM95 SOX15 AIPL1 NLRP1 ARHGEF15 PITPNM3 ACAP1 C17orf107 INCA1 KCTD11 DNAH9 CHRNE ZNF232 ENO3 VAMP2 ALOX15 ACADVL ALOXE3 C17orf49 CD68 CHRNB1 DNAH2 DVL2 FXR2 HES7 MFSD6L MINK1 RCVRN SHBG SLC2A4 SPEM1 TNFSF12 ASPA C17orf74 GUCY2D SPNS3 MED31 ALOX15B GP1BA MYH2 TEKT1 WRAP53 ZFP3 GLP2R SLC13A5"
57,6,0.5084,7.626,373.3,0.01941,0.998474,"ANKRD13D KBTBD8 PCSK1 ABHD6 SLC26A2 SLC30A6"
58,42,0.5019,432.2,2698,0.1344,1.00000,"ANO6 LMBR1L ARF3 LRRK2 PPP1R1A SLC38A4 CCDC184 ASIC1 PUS7L VDR BCDIN3D ATF1 NR4A1 PRPF40B SLC4A8 KCNH3 TMEM106C HDAC7 ZNF641 GRASP KRT86 CSRNP2 FMNL3 GPD1 POU6F1 CCDC65 KRT82 OR6C3 KRT84 C12orf54 KRT85 LALBA PRKAG1 ASB8 OR8S1 AQP6 OR10AD1 HIGD1C PCED1B RHEBL1 LIMA1 LARP4"
59,56,0.4754,732.1,3635,0.1635,1.00000,"STRC SQRDL SERINC4 C15orf62 MAPKBP1 C15orf57 PGBD4 PAK6 SLC24A5 SNURF ZSCAN29 DLL4 C15orf52 RMDN3 LPCAT4 RASGRP1 TYRO3 STARD9 ELL3 TMEM62 UBR1 WDR76 CHAC1 LTK PLCB2 DUOXA1 GCHFR MAP1A NIPA2 DUOX2 SPINT1 C15orf54 CHRNA7 CAPN3 DUOX1 NUSAP1 GANC PPP1R14D RPUSD2 FRMD5 PLA2G4D APBA2 CHRM5 TMCO5A ADAL AVEN BAHD1 BMF CKMT1B GNB5 JMJD7 PLA2G4F TMEM87A PLA2G4E C15orf53 OCA2"
60,31,0.5011,233.0,2158,0.09498,1.00000,"C3orf18 CACNA2D2 PHF7 SCN11A NT5DC2 COL7A1 GNAT1 ITIH3 MYL3 PFKFB4 SPINK8 TLR9 TMEM110 UBA7 ZMYND10 CAMP CCDC71 DAG1 ITIH4 KLHDC8B NEK4 CISH CCR5 IQCF5 TRANK1 APEH PRSS46 SCN10A HYAL1 GLT8D1 CXCR6"
61,6,0.5226,7.839,174.8,0.04028,0.998474,"RPS9 RPL36 RPL35 RPS15 RPL13 RPL37A"
62,6,0.5050,7.575,409.0,0.01768,0.998474,"MXRA7 NIPAL3 PI4K2A C5orf30 C1orf168 POLA2"
63,7,0.5619,11.80,115.6,0.08347,0.999299,"RAF1 NRAS RCE1 PRKAR1A SHOC2 KRAS GRB2"
64,6,0.5016,7.524,109.4,0.05836,0.998474,"ARHGEF7 ITGB1 PAK2 YAP1 MARK2 TP63"
65,5,0.7988,7.988,72.11,0.08866,0.996692,"AHR AIP ARNT STIP1 TIPARP"
66,39,0.5012,371.4,2941,0.1095,1.00000,"A1CF AP3M1 CAMK2G CDH23 COL13A1 DNAJB12 DUPD1 DUSP13 LRRC20 MCU NDST2 OGDHL OIT3 PALD1 PLA2G12B PLAU PPP3CB RTKN2 SLC25A16 SRGN SYNPO2L TBATA TTC18 ZNF503 ATOH7 USP54 MYOZ1 FUT11 SAMD8 COMTD1 ADK ANXA7 ZSWIM8 MAT1A UNC5B ADAMTS14 C10orf55 TSPAN15 NODAL"
