Rank,Module genes,Cancer type,p,FDR
26,"A4GALT, ABHD17A, ABHD17C, ACO2, ACR, ADM2, ADORA2A, ADRBK2, AIFM3, ANKRD54, AP1B1, APOBEC3A, APOBEC3B, APOBEC3C, APOBEC3D, APOBEC3F, APOBEC3G, APOBEC3H, APOL1, APOL2, APOL3, APOL5, APOL6, ARFGAP3, ARHGAP8, ARSA, ARVCF, ASCC2, ASPHD2, ATP5L2, ATXN10, BAIAP2L2, BCL2L13, BCR, BID, BIK, BPIFC, BRD1, C1QTNF6, C22orf15, C22orf23, C22orf24, C22orf29, C22orf31, C22orf39, C22orf42, C22orf46, C2orf50, CABIN1, CABP7, CACNA1I, CACNG2, CARD10, CBX6, CBX7, CBY1, CCDC116, CCDC117, CCDC134, CCDC157, CCT8L2, CDC42EP1, CDPF1, CECR1, CECR5, CECR6, CELSR1, CERK, CHADL, CHCHD10, CHEK2, CHKB, CKLF, CLDN5, CLTCL1, COMT, CPT1B, CRELD2, CRYBA4, CRYBB1, CRYBB2, CRYBB3, CSDC2, CSF2RB, CSNK1E, CYB5R3, CYP2D6, CYTH4, DDTL, DDX17, DENND6B, DEPDC5, DERL3, DESI1, DGCR14, DGCR2, DGCR6, DGCR6L, DGCR8, DMC1, DNAJB7, DNAL4, DRG1, DRICH1, DUSP18, E2F6, EFCAB6, EIF3D, EIF3L, EIF4ENIF1, ELFN2, EMID1, ENTHD1, EP300, FAM109B, FAM118A, FAM19A5, FAM83F, FBLN1, FOXRED2, GAB4, GAL3ST1, GALR3, GAS2L1, GATSL3, GCAT, GGA1, GGT1, GGT5, GGTLC1, GGTLC2, GNAZ, GP1BB, GRAMD2, GRAMD4, GRAP2, GSC2, GSTT2, GSTT2B, GTPBP1, GTSE1, GUCD1, H1F0, HDAC10, HIC2, HMGXB4, HMOX1, HORMAD2, HPS1, HPS4, HSCB, IFT27, IGLL1, IGLL5, IL17RA, IL17REL, IL2RB, INPP5J, ISX, JOSD1, KCNJ4, KCTD17, KDELR3, KIAA0930, KIAA1644, KIAA1671, KLHDC7B, KLHL22, KREMEN1, L3MBTL2, LARGE, LDOC1L, LGALS1, LGALS2, LIF, LIMK2, LMF2, LRP5L, LRRC75B, LZTR1, MAFF, MAPK1, MAPK11, MAPK12, MB, MCAT, MCHR1, MCM5, MED15, MEI1, MFNG, MGAT3, MICAL3, MICALL1, MIEF1, MIF, MIOX, MKL1, MLC1, MMP11, MN1, MORC2, MOV10L1, MPPE1, MPPED1, MPST, MRPL40, MTFP1, MTMR3, MYO18B, NAGA, NCF4, NDUFA6, NEFH, NFAM1, NFATC2, NIPSNAP1, NOL12, NPTXR, ODF3B, OSBP2, OSM, P2RX6, PACSIN2, PARVB, PARVG, PATZ1, PDGFB, PDXP, PES1, PEX26, PHF21B, PI4KA, PICK1, PIK3IP1, PIM3, PISD, PIWIL3, PKDREJ, PLA2G3, PLA2G6, PLXNB2, PMM1, PNPLA3, PNPLA5, POLDIP3, POLR2F, POLR3H, PPARA, PPIL2, PPM1F, PPP6R2, PRAME, PRODH, PRR14L, PRR34, PRR5, PVALB, RAB36, RABL2B, RAC2, RANBP1, RASD2, RASL10A, RBX1, RFPL1, RFPL2, RFPL3, RGL4, RHBDD3, RIMBP3, RIMBP3B, RNF185, RNF215, RPL3, RPS19BP1, RRP7A, RTDR1, RTN4R, SBF1, SCARF2, SCO2, SCUBE1, SDF2L1, SEC14L2, SEC14L3, SEC14L4, SEC14L6, SELM, SELO, SEPT3, SEPT5, SERHL2, SERPIND1, SEZ6L, SF3A1, SFI1, SGSM1, SGSM3, SH3BP1, SIRPA, SLC10A1, SLC16A8, SLC25A1, SLC25A17, SLC25A18, SLC2A11, SLC35E4, SLC5A1, SLC5A4, SLC7A4, SLC9B1, SMC1B, SMDT1, SMTN, SNAP29, SOX10, SPECC1L, SREBF2, SRRD, SSTR3, SULT4A1, SUN2, SUSD2, SYCE3, SYN3, SYNGR1, TAB1, TANGO2, TBC1D10A, TBC1D22A, TBX1, TCF20, TCN2, TEF, TEX33, TFIP11, THAP7, THOC5, TIMP3, TMEM151B, TMEM184B, TMEM211, TMPRSS6, TNFRSF13C, TNRC6B, TOB2, TOM1, TOMM22, TOP3B, TPST2, TRABD, TRIOBP, TRMT2A, TRMU, TSPO, TSSK2, TST, TTC28, TTC38, TTLL1, TTLL12, TUBA8, TUBGCP6, TXN2, TXNRD2, TYMP, UFD1L, UPB1, UPK3A, UQCR10, UQCRFS1, USP18, VPREB1, VPREB3, WBP2NL, WNT7B, XBP1, XKR3, XPNPEP3, XRCC6, YDJC, YPEL1, YWHAH, ZBED4, ZC3H7B, ZDHHC8, ZMAT5, ZNF280A, ZNF280B, ZNF70, ZNF74, ZNRF3",Skin,7.63E-15,2.85E-12
27,"AADAT, AASDH, ABCG2, ACOX3, ACSL1, ADAD1, ADAM29, ADAMTS3, ADH1A, ADH1B, ADH4, ADH5, ADH6, ADH7, AFF1, AFM, AFP, AGA, AGPAT9, ALB, ALPK1, AMBN, AMTN, ANK2, ANKRD17, ANKRD37, ANKRD50, ANTXR2, ANXA3, ANXA5, AP1AR, APBB2, AREG, ARFIP1, ARHGAP10, ARHGAP24, ARHGEF38, ARL9, ARPC1A, ARSJ, ART3, ASB5, ASIC5, ATOH1, AXL, BANK1, BBS12, BBS7, BDH2, BMP2K, BMP3, BMPR1B, BTC, C12orf75, C1orf204, C4orf17, C4orf22, C4orf26, C4orf27, C4orf3, C4orf33, C4orf36, C4orf46, C4orf47, C4orf51, CABS1, CAMK2D, CASP3, CASP6, CBR4, CCBL1, CCDC109B, CCDC148, CCDC158, CCNG2, CCNI, CCRN4L, CCSER1, CDKL2, CDS1, CEP135, CFI, CHIC2, CISD2, CLDN24, CLGN, CLOCK, CNOT6L, COL25A1, COX18, CPE, CSN1S1, CSN2, CSN3, CWH43, CXCL1, CXCL10, CXCL11, CXCL13, CXCL2, CXCL3, CXCL5, CXCL6, CXCL8, CXCL9, CXXC4, CYP2U1, CYP4V2, DAPP1, DCHS2, DCK, DCUN1D4, DDIT4L, DDX60, DKK2, DMP1, DNAJB14, DSPP, DYNLL2, EDNRA, EGF, EIF4E, ELOVL6, EMCN, ENAM, ENOPH1, ENPEP, ENPP6, EPGN, EPHA5, EREG, ERGIC1, ESCO1, ETFDH, ETNPPL, EXOSC9, EYA1, F11, FABP2, FAM13A, FAM149A, FAM150B, FAM160A1, FAM175A, FAM198B, FAM218A, FAM47E, FAT4, FDCSP, FGA, FGB, FGF2, FGF5, FNIP2, FRAS1, FREM3, G3BP2, GALNTL6, GAR1, GC, GK2, GLDC, GLRA3, GLRB, GNRHR, GRIA2, GRID2, GSTCD, GSX2, GUCY1A3, GUCY1B3, GUF1, GULP1, GYPA, HADH, HAND2, HELQ, HERC3, HERC5, HERC6, HHIP, HMGN1, HNRNPD, HNRNPDL, HOPX, HOXB4, HPGD, HPGDS, HPSE, HRH1, HSD17B11, HSD17B13, HSPA4L, HTN1, HTN3, IBSP, IGFBP7, IGJ, IL15, IL2, IL21, INPP4B, INSIG2, INTU, ISG20, ITGB6, JADE1, KDR, KIAA0922, KIAA1109, KIT, KLHL2, KLHL5, KLHL8, LARP1B, LEF1, LMTK2, LNX1, LPHN3, LRAT, LRBA, LRIT3, LRP2BP, LRRC66, LYPD6, LYPLA1, MANBA, MAP9, MAPK10, MARCH1, MEPE, MFAP3L, MFSD1, MFSD10, MFSD8, MGARP, MGAT4D, MMAA, MMRN1, MOB1B, MRPL1, MRPS18C, MTHFD2L, MTNR1A, MTTP, MUC7, MYL5, MYOZ2, N4BP2, NAA11, NAAA, NAP1L5, NDNF, NDST3, NDST4, NEUROG2, NFKB1, NKX6-1, NMU, NOA1, NOVA2, NPFFR2, NPNT, NPY1R, NPY2R, NPY5R, NR3C2, NUDT6, NUDT9, ODAM, OTUD4, PACRGL, PANK1, PAPSS1, PAQR3, PARM1, PCDH10, PCDH18, PDCL2, PDE5A, PDGFC, PDGFRA, PDHA2, PDLIM3, PDLIM5, PET112, PF4, PF4V1, PGRMC2, PI4K2B, PIGY, PITX2, PKD2, PLAC8, PLK2, PLRG1, POU4F2, PPBP, PPEF2, PPID, PPM1K, PPP3CA, PRDM5, PRDM8, PRKG2, PROL1, PRR27, PRSS12, PRSS48, PTPN13, PYURF, QRFPR, RAB33B, RAP1GDS1, RASGEF1B, RASL11B, RASSF6, RBM46, RCHY1, REL, REST, RGMA, RNF150, RNF175, ROS1, RRH, RUFY3, RXFP1, SAMD3, SAV1, SCARB2, SCD5, SCFD2, SCLT1, SEC24B, SEC24D, SEC31A, SEPT11, SETD7, SFRP2, SGCB, SGMS2, SH3D19, SH3RF1, SHROOM3, SLC10A6, SLC25A31, SLC25A4, SLC39A8, SLC7A11, SLC9B2, SMAD1, SMARCAD1, SMIM14, SMIM20, SMR3B, SNCA, SNX25, SORBS2, SOWAHB, SPARCL1, SPATA18, SPATA4, SPINK2, SPOCK3, SPP1, SPRY1, SRP72, STAP1, STATH, STBD1, STPG2, SULT1B1, SULT1E1, SYNPO2, TACR3, TBC1D19, TBC1D9B, TBCK, TECRL, TET2, THAP6, THAP9, THEGL, TIFA, TIGD2, TKTL2, TLL1, TLR2, TLR3, TLR6, TMEM144, TMEM150C, TMEM154, TMEM184C, TMEM192, TMPRSS11A, TMPRSS11B, TMPRSS11D, TMPRSS11E, TNIP3, TRAFD1, TRAM1L1, TRIM60, TRIM61, TRIML2, TRMT10A, TRPC3, TSPAN5, TTC29, UBAP1L, UBXN2A, UCP1, UGT2A1, UGT2A2, UGT2A3, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UGT8, USP46, USP53, VEGFC, WDFY3, WDR17, ZGRF1, ZNF330, ZNF385D, ZNF827, ZSCAN9",Autonomic ganglia,8.41E-15,3.38E-12
28,"ABLIM2, ACOX3, ADAM18, ADAM2, ADAM28, ADAM32, ADAM7, ADAM9, ADAMDEC1, ADD1, ADRA1A, ADRA2C, ADRB3, AFAP1, ANAPC4, ANGPT2, ANK1, AP3M2, APBB2, ARAP2, ARHGEF10, ASAH1, ATP10D, ATP8A1, BAG4, BEND4, BIN3, BLK, BLOC1S4, BMP1, BNIP3L, BOD1L1, BST1, C1QTNF7, C4orf19, C4orf48, C4orf6, C8orf4, C8orf48, C8orf58, C8orf74, CC2D2A, CCAR2, CCDC149, CCDC25, CCDC96, CCKAR, CD38, CDCA2, CHRNA2, CHRNA6, CHRNA9, CHRNB3, CLDN23, CLNK, CLRN2, CLU, CNGA1, COMMD8, CORIN, COX7B2, CPEB2, CPLX1, CPZ, CRIPAK, CRMP1, CSGALNACT1, CTBP1, CTSB, CWH43, CYTL1, DCAF16, DCAF4L1, DDHD2, DEFA1, DEFA4, DEFA5, DEFA6, DEFB1, DEFB103B, DEFB104A, DEFB105A, DEFB106A, DEFB107B, DEFB134, DEFB135, DEFB136, DEFB4A, DEFB4B, DGKQ, DHTKD1, DHX15, DKK4, DLGAP2, DMTN, DOK2, DOK4, DOK7, DPYSL2, DRD5, DTHD1, DUSP26, EBF2, EGR3, EIF4EBP1, ENTPD4, EPHX2, ERI1, ERICH1, ERLIN2, EVC, EVC2, EXTL3, FAM114A1, FAM160B2, FAM167A, FAM184B, FAM200B, FAM53A, FBXL5, FBXO16, FBXO25, FGF17, FGF20, FGFBP1, FGFBP2, FGFR1, FGFR3, FGFRL1, FGL1, FRYL, FUT10, FZD3, GABRA4, GABRB1, GABRG1, GAK, GATA4, GFRA2, GNPDA2, GOT1L1, GPR124, GPR125, GPR78, GRK4, GRPEL1, GRXCR1, GSR, GTSE1, GUF1, HAUS3, HGFAC, HGSNAT, HMBOX1, HMGXB3, HMX1, HNRNPH1, HOOK3, HR, HS3ST1, HTRA3, HTRA4, IDO1, IDUA, IFIT3, IKBKB, JAKMIP1, KBTBD11, KCNIP4, KCNU1, KCTD8, KIAA0232, KIAA1456, KIF13B, KLB, KLC1, KLF3, KLHL5, LAP3, LARP7, LCORL, LDB2, LEPROTL1, LETM2, LGI2, LGI3, LIMCH1, LONRF1, LOXL2, LPL, LRPAP1, LSM1, LYAR, LZTS1, MAN2B2, MED28, MFHAS1, MFSD10, MFSD7, MFSD8, MRFAP1, MRFAP1L1, MSANTD1, MSR1, MSRA, MSX1, MTMR7, MTUS1, MXD4, MYL5, MYOM2, MYOZ2, N4BP2, NAT1, NAT2, NAT8L, NCAPG, NEIL2, NFXL1, NIPAL1, NKX3-1, NKX3-2, NKX6-3, NOP14, NPM2, NRG1, NSG1, NSUN7, NUGGC, NWD2, OCIAD1, OCIAD2, OTOP1, PACRGL, PBK, PCDH7, PCGF3, PCM1, PDE6B, PDGFRL, PDLIM2, PEBP4, PGM2, PHOX2B, PHYHIP, PI4K2B, PIGG, PINX1, PIWIL2, PLAT, PNMA2, PNOC, POLB, POLN, POMK, PPAPDC1B, PPARGC1A, PPP1R35, PPP1R3B, PPP2CB, PPP2R2C, PPP3CC, PROM1, PROSC, PRR23D2, PRSS55, PSAPL1, PSD3, PTK2B, PTTG2, PURG, QDPR, R3HCC1, RAB28, RBPMS, REEP4, RELL1, RFC1, RGS12, RHOBTB2, RHOH, RNF122, RNF170, RNF212, RNF5, S100P, SARAF, SCAMP5, SCARA3, SCARA5, SEL1L3, SFRP1, SFTPC, SGCZ, SGK223, SGPL1, SH2D4A, SH3BP2, SH3TC1, SHISA3, SLAIN2, SLBP, SLC10A4, SLC18A1, SLC20A2, SLC26A1, SLC2A9, SLC34A2, SLC35G5, SLC39A14, SLC7A2, SLIT2, SMIM14, SMIM18, SMIM20, SOD3, SORBS3, SORCS2, SOX7, SPAG11B, SPON2, STAR, STC1, STIM2, STK32B, STMN4, STX18, TACC1, TACC3, TBC1D1, TBC1D14, TBC1D19, TEC, TEX15, TLR1, TLR10, TLR6, TM2D2, TMEM128, TMEM129, TMEM156, TMEM175, TMEM33, TMEM67, TNFRSF10A, TNFRSF10B, TNFRSF10C, TNFRSF10D, TNIP2, TNKS2, TRIM35, TRMT44, TUSC3, TXK, UCHL1, UGDH, UNC5D, USP17L10, USP17L12, USP17L13, USP17L2, USP17L5, UVSSA, VDAC3, WDR19, WFS1, WHSC1, WHSC1L1, XKR6, XPO7, YIPF7, ZAR1, ZBTB43, ZBTB49, ZCCHC4, ZDHHC2, ZFYVE28, ZMAT4, ZNF141, ZNF395, ZNF518B, ZNF596, ZNF705B",Autonomic ganglia,6.34E-13,2.37E-10
29,"CEBPA, GFI1, MYB, SPI1",Haematopoietic/lymphoid,9.94E-13,2.08E-09
30,"KRAS, NRAS, RAF1, SHOC2",Pancreas,2.06E-12,6.45E-09
31,"ADIPOR2, BEND4, COA5, GFI1, IRF8, MEF2D, MYB, SETDB1, SLC5A3, SPI1, STAT5B, TRIM24, WSB1",Haematopoietic/lymphoid,3.23E-12,2.08E-09
32,"C6orf136, ECHS1, JAK3, LDLR, LDLRAP1, MCEMP1, MYB, PLAGL2, PYCR2, REEP4, SH2B1, SMARCD2, SPI1, TROAP",Haematopoietic/lymphoid,3.48E-12,2.08E-09
33,"C6orf136, COQ10B, ECHS1, GFI1, JAK3, LDLR, LDLRAP1, MCEMP1, MYB, PLAGL2, PYCR2, REEP4, SMARCD2, SPI1",Haematopoietic/lymphoid,3.48E-12,2.08E-09
34,"BATF3, CCND3, GAB2, IKZF1, IRF4, JUNB, MYB, PTPN1, PTPN11, PTPN2, RORC, SBNO2, SOS1, SP110, STAT3",Haematopoietic/lymphoid,3.73E-12,2.08E-09
35,"AK2, ATP1B3, BATF3, CCND3, IKZF1, IRF4, JUNB, MYB, PTPN1, PTPN2, RORC, SBNO2, SOS1, SP110, STAT3",Haematopoietic/lymphoid,3.73E-12,2.08E-09
36,"CCND3, ECHS1, GFI1, HMHA1, IKZF1, JAK3, LDLR, LDLRAP1, MCEMP1, MYB, PLAGL2, PYCR2, REEP4, SMARCD2, SPI1",Haematopoietic/lymphoid,3.73E-12,2.08E-09
37,"CBFA2T3, CBFB, CSF2RB, ETV6, GFI1B, GSE1, HDAC7, JAK2, LDB1, LMO2, MYB, RUNX1, SOS1, SPI1, ZFPM1",Haematopoietic/lymphoid,3.73E-12,2.08E-09
38,"BCL11A, FBXO7, GFI1, HMX3, IRF8, LMO2, LYL1, MEF2D, MYB, PLCG2, SLC5A3, SPI1, STAT5B, WSB1, ZEB2",Haematopoietic/lymphoid,3.73E-12,2.08E-09
39,"BAZ2B, BCL11A, CEBPA, FBXO7, GFI1, HMX3, IRF8, MAML1, MEF2D, MYB, NCKAP1L, SIK3, SLC5A3, SPI1, STAT5B, WSB1",Haematopoietic/lymphoid,3.97E-12,2.08E-09
40,"DDX5, GATA6, KRAS, MAP2K5, MAP3K2, MAPK7, RBM47, TRAF7",Pancreas,4.11E-12,6.45E-09
41,"BAZ2B, BCL11A, CSTF2T, GAB2, GFI1, HMX2, HMX3, IKZF1, IRF8, MAML1, MEF2D, MYB, NCKAP1L, SIK3, SLC5A3, SPI1, STAT5B, WSB1",Haematopoietic/lymphoid,4.47E-12,2.13E-09
42,"GRB2, ICMT, KRAS, MAPK1, NRAS, RAF1, RAP1GDS1, RCE1, SHOC2",Pancreas,4.63E-12,6.45E-09
43,"CBL, DUSP6, KRAS, LZTR1, MAPK1, NF1, RAF1, RASA2, RRAS2, SHOC2, SOS1",Pancreas,5.66E-12,6.45E-09
44,"DUSP6, GRB2, KRAS, LZTR1, MAPK1, NF1, NRAS, PTPN11, RAF1, RCE1, SHOC2, SOS1",Pancreas,6.17E-12,6.45E-09
45,"ADIPOR2, AHCY, ATF7IP, BAP1, BAZ2B, BCL11A, BCL2, BEND4, CCND3, CDS2, CITED2, CSTF2T, DDHD2, DENND4A, FAM208A, FBXO7, FLI1, GAB2, GFI1, GNG5, HDDC2, HIST1H1B, HMHA1, HMX2, HMX3, HOXA9, IKZF1, IRF8, JADE2, KDM4A, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MED13L, MEF2C, MEF2D, MEIS2, MORC2, MPHOSPH8, MTF1, MYB, NAIF1, NCKAP1L, PBX2, PIM1, PLCG2, PPHLN1, PTPN2, PTPRA, REEP4, RPS27L, SETDB1, SIK3, SLC30A1, SLC39A10, SLC5A3, SOS1, SPI1, SPRED2, STAT5B, TALDO1, TRIM24, TRIM33, WSB1, ZEB2, ZFP64, ZMYM2",Haematopoietic/lymphoid,1.71E-11,7.39E-09
46,"ADIPOR2, ASB7, ATF7IP, AUP1, BAP1, BAZ2B, BCL11A, BCL2, BEND4, CCND3, CITED2, CSTF2T, DMXL1, FAM208A, FBXO7, FLI1, GAB2, GFI1, HDDC2, HERPUD1, HIST1H1B, HMHA1, HMX2, HMX3, ID2, IKZF1, IKZF3, IRF4, IRF8, JADE2, KCNQ5, KDM4A, KIAA1551, KMT2A, LMO2, LYL1, MAML1, MEF2C, MEF2D, MEIS2, MORC2, MPHOSPH8, MYB, NCKAP1L, NEK2, NFKB1, PBX2, PDE7A, PIM1, PLCG2, POU2AF1, PPHLN1, PRDM1, PTPN2, PTPRA, REEP4, RPS27L, RRM2B, SETDB1, SIK3, SLC5A3, SMAD7, SOS1, SPI1, SPRED2, STAT5B, TALDO1, TCF3, TRIM24, TRIM33, WSB1, ZEB2, ZFP64, ZMYM2",Haematopoietic/lymphoid,1.84E-11,7.39E-09
