Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
11,150,0.2000,2235,7049,0.2332,1.00000,"A1CF ALOX5 ANTXRL AP3M1 ARID5B ASAH2 C10orf128 C10orf25 C10orf53 CAMK2G CDH23 CDHR1 CHAT COL13A1 CSGALNACT2 CTNNA3 DKK1 DNAJB12 DNAJC12 DUPD1 DUSP13 ERCC6 FAM13C FAM21A FAM21C FAM35A GPRIN2 H2AFY2 LRRC18 LRRC20 MCU MINPP1 MSMB MTRNR2L5 NDST2 NPY4R NUDT13 NUTM2A OGDHL OIT3 OPN4 PALD1 PAPSS2 PBLD PHYHIPL PLA2G12B PLAU PPP3CB PRKG1 PSAP RET RTKN2 SFTPA2 SGMS1 SLC16A9 SLC18A3 SLC25A16 SRGN SYNPO2L SYT15 TBATA TET1 TMEM72 TTC18 VSTM4 ZFAND4 ZNF239 ZNF33B ZNF365 ZNF503 NCOA4 ZNF32 C10orf11 EIF4EBP2 LDB3 NEUROG3 NPFFR1 CXCL12 CYP17A1 ATOH7 USP54 FAM149B1 MYOZ1 ANAPC16 C10orf54 ZNF22 DDX50 MMRN2 RNLS SEMA4G HKDC1 PTPN20B FAM25A ADIRF AGAP6 FXYD4 PLAC9 FUT11 LRRTM3 SAMD8 ANXA11 UBE2D1 COMTD1 ASCC1 SLC29A3 ANK3 ZNF485 ADK TSPAN14 SFTPA1 ANXA7 CHST3 ZSWIM8 AIFM2 DYDC1 MAT1A MBL2 PCBD1 RBP3 UNC5B MARCH8 KAT6B ADAMTS14 C10orf55 TMEM26 TSPAN15 ANXA8 ZNF488 ANXA8L1 PGBD3 NUTM2B RASSF4 GDF2 DRGX RASGEF1A SFTPD AGAP5 OR13A1 ADO FRMPD2 PCDH15 WDFY4 C10orf10 AGAP9 FAM170B NODAL HERC4 MICU1 TACR2 BICC1"
12,5,0.9581,9.581,77.59,0.09860,0.996692,"UBA6 PPP1R15B BIRC6 KCMF1 UBR4"
13,165,0.1842,2492,7591,0.2393,1.00000,"STRC SQRDL PPIB RTF1 SERINC4 C15orf62 MAPKBP1 C15orf57 GOLGA8B PGBD4 PAK6 IGDCC3 TEX9 FAM227B SLC24A5 SNURF ZSCAN29 CASC4 DLL4 MYEF2 MYO5C C15orf52 FAN1 RMDN3 ABCB10 AP4E1 ATP10A EID1 EXD1 FSIP1 GABRB3 GJD2 GOLGA6L1 GREM1 HERC2 LPCAT4 MKRN3 RASGRP1 SLC12A1 TYRO3 NPAP1 PPIP5K1 STARD9 B2M ELL3 TMEM62 UBR1 DAPK2 BNIP2 NOX5 KIAA0101 SPTBN5 TLN2 MYZAP BLOC1S6 DEXI WDR76 CHAC1 TTBK2 LTK TMOD3 SLC27A2 SERF2 TGM5 PLCB2 DUOXA1 GCHFR MAP1A ZNF280D NIPA2 DPP8 CCPG1 DUOX2 SPINT1 CSNK1G1 APH1B C15orf54 CGNL1 FOXB1 PLA2G4B CHRNA7 CAPN3 TRPM1 CYP19A1 DUOX1 NUSAP1 FBN1 RORA GANC PPP1R14D RPUSD2 TRIM69 FRMD5 C15orf48 PLA2G4D APBA2 CHRM5 SORD CTXN2 CCNDBP1 TMCO5A ADAL ALDH1A2 ANKDD1A AQP9 ARHGAP11A ARHGAP11B AVEN BAHD1 BMF C15orf43 CA12 CKMT1B DUOXA2 EPB42 FMN1 GLDN GNB5 GPR176 JMJD7 MTMR10 PLA2G4F RYR3 SEMA6D SHC4 SLC12A6 TMEM87A USP50 CATSPER2 HDC SNX22 GOLGA6L6 KBTBD13 PYGO1 SLC28A2 PLA2G4E TGM7 THBS1 DMXL2 FBXL22 BCL2L10 DISP2 USP3 C15orf53 TPM1 MAPK6 NDN FGF7 ITPKA MYO5A PARP16 PIGH UNC13C OTUD7A OCA2 PRTG NIPA1 TRIP4 GOLGA8M GCNT3 CHRFAM7A SPG11 GOLGA8H GABRA5 RNF145"
14,12,0.2041,13.47,177.9,0.06253,0.999986,"PSMB6 IREB2 ACO2 SOD2 GLRX3 THAP11 MAX ZNF143 FBXO7 THAP1 PSMB5 MYC"
15,84,0.2001,697.6,4142,0.1393,1.00000,"TBC1D19 APBB2 CHRNA9 MAN2B2 CRIPAK TXK SEL1L3 SORCS2 S100P ZFYVE28 BEND4 ATP10D MFSD10 GABRA4 N4BP2 NOP14 SH3BP2 GRXCR1 SMIM14 TLR1 SLBP FAM114A1 SLAIN2 HMX1 SLC34A2 POLN UVSSA LIMCH1 OCIAD1 MXD4 PGM2 SH3TC1 TBC1D1 ADD1 TEC MRFAP1 YIPF7 FAM184B EVC2 KCNIP4 CCKAR CNGA1 COMMD8 CWH43 KLHL5 MRFAP1L1 PPP2R2C SHISA3 TLR6 TMEM156 WDR19 GRK4 NWD2 SLC10A4 GRPEL1 CLRN2 ZCCHC4 ZAR1 PCDH7 DCAF4L1 GABRB1 CD38 OCIAD2 NIPAL1 SLIT2 FGFBP2 LGI2 LETM1 PACRGL TLR10 CORIN GABRG1 UGDH RELL1 DHX15 HAUS3 MED28 NCAPG COX7B2 FRYL RFC1 KCTD8 ATP8A1 STX18"
16,228,0.1950,5046,8938,0.3494,0.0352151,"TMEM211 HPS1 CECR1 APOBEC3C APOBEC3G APOL1 BAIAP2L2 CBX6 CSDC2 CSNK1E CYTH4 DESI1 DUSP18 ENTHD1 FOXRED2 GSTT2 IL2RB KCTD17 MB MCHR1 MGAT3 MKL1 PICK1 SLC16A8 SLC25A17 SYNGR1 TEF TNRC6B TSSK2 C22orf39 CECR5 RTN4R AP1B1 CACNA1I CBY1 MIF GNAZ SYN3 MICALL1 MPPE1 BPIFC RNF185 ISX DGCR6L GATSL3 KDELR3 CABP7 CRYBB2 YPEL1 DRG1 LARGE ARVCF LIF RFPL3 SLC2A11 JOSD1 RTDR1 NPTXR CLTCL1 CLDN5 EIF3L GSTT2B HIC2 KLHL22 SLC7A4 GAL3ST1 GUCD1 HORMAD2 LRRC75B TMEM184B VPREB1 ZNF74 MTFP1 NCF4 DGCR6 INPP5J TRMT2A BID C22orf29 RASL10A APOL6 HMGXB4 SFI1 SEC14L3 APOL2 IFT27 APOL5 SH3BP1 SMTN PPM1F CRYBB3 CHADL LGALS1 DDTL ELFN2 CECR6 PIK3IP1 TXNRD2 MAFF SEPT5 TBC1D10A USP18 ZNRF3 TMPRSS6 SSTR3 APOBEC3F RAB36 SUSD2 SELM SLC5A1 SUN2 MYO18B SIRPA EMID1 C22orf31 NIPSNAP1 TAB1 IGLL1 DGCR8 CCDC117 SDF2L1 PATZ1 MORC2 RFPL2 SEC14L6 C1QTNF6 SERPIND1 RHBDD3 ADRBK2 HPS4 SGSM1 UPB1 CCT8L2 KREMEN1 BCR ZNF280B ANKRD54 SEZ6L SNAP29 DERL3 SEC14L4 PRR14L YWHAH LZTR1 GCAT GRAP2 DNAL4 KCNJ4 L3MBTL2 ADORA2A APOBEC3A APOL3 ASCC2 C22orf15 C22orf23 CCDC116 CCDC157 CHCHD10 CRYBB1 CSF2RB DMC1 FAM83F GAB4 HMOX1 KIAA1671 MMP11 OSBP2 OSM PIWIL3 PRAME PRODH RASD2 RGL4 RIMBP3B SEC14L2 SLC25A18 THAP7 TPST2 TST TTC28 TUBA8 XKR3 ZDHHC8 SCARF2 TOP3B DGCR2 AIFM3 BCL2L13 DRICH1 GALR3 LIMK2 RIMBP3 VPREB3 YDJC C22orf24 TEX33 DNAJB7 GGT1 MICAL3 COMT E2F6 GGA1 GGTLC2 GP1BB GSC2 LRP5L P2RX6 PLA2G3 PVALB RAC2 TANGO2 TBX1 TCN2 RFPL1 LGALS2 CRYBA4 SLC5A4 PLA2G6 MFNG TRIOBP EIF4ENIF1 CARD10 APOBEC3D SERHL2 RNF215 CACNG2 IL17RA IGLL5"
17,187,0.2003,3484,8259,0.2875,0.999883,"RIPK2 TMEM67 LYPLA1 OPRK1 XKR9 NIPAL2 FABP4 CTHRC1 XKR4 AARD ADCY8 ANXA13 ATAD2 BAALC BHLHE22 C8orf76 CA2 CA3 CA8 CDK5 CLVS1 COL14A1 COLEC10 CSMD3 CYP7A1 DCSTAMP DECR1 DEPTOR DERL1 DPY19L4 DPYS ENPP2 FAM110B FAM135B FAM150A FAM83A FAM84B FBXO32 FER1L6 GEM GGH HAS2 HEY1 KCNQ3 KCNS2 KCNV1 KIAA0196 KLHL38 MATN2 MTSS1 NCALD NOV NPBWR1 ODF1 OXR1 RGS22 RNF139 RRM2B RSPO2 SAMD12 SLC30A8 SLC7A13 SNTB1 SNX16 SPAG1 SYBU TMEM55A TMEM65 TNFRSF11B TOX TPD52 TRIB1 TRMT12 WDYHV1 ZFHX4 ZFPM2 ZHX1 ZHX2 ZNF572 TRHR E2F5 ADHFE1 TCEA1 KLF10 SDC2 CPA6 TRPA1 C8orf34 LY96 IMPA1 STAU2 CDH17 CALB1 ASPH ZBTB10 CPQ PCMTD1 TMEM68 CNGB3 SNTG1 C8orf37 C8orf88 CCNE2 PDE7A TCF24 STK3 EFCAB1 OSR2 ST18 RAD54B CEBPD TRAM1 TRIM55 NECAB1 MOS FAM92A1 RAB2A ANGPT1 IMPAD1 LACTB2 CPNE3 ERICH5 TTPA PENK SLC26A7 RUNX1T1 ZFAND1 SOX17 CA1 SDR16C5 PRDM14 DNAJC5B ANKRD46 GDAP1 SLCO5A1 KCNB2 SBSPON RIMS2 ATP6V0D2 DCAF4L2 TMEM70 C8orf22 LYN MCMDC2 NKAIN3 PKIA STMN2 FBXO43 VCPIP1 ARFGEF1 C8orf44 C8orf46 CHCHD7 CHMP4C CRH CSPP1 ESRP1 IL7 MTFR1 NSMAF PAG1 PDP1 PMP2 PXDNL RALYL RP1 SGK3 SULF1 UBE2V2 UBXN2B VPS13B HNF4G AZIN1 SDCBP TMEM74 SNX31 FAM91A1 MMP16 EBAG9 FABP12 GDF6 ZNF704 JPH1 PI15 TP53INP1 UBE2W SPIDR"
18,7,0.6519,13.69,236.7,0.05177,0.999299,"HERC2 GOLGA6L9 CSPG4 ADAMTS7 GOLGA6B GOLGA6L10 UBE2Q2L"
19,118,0.2006,1384,5496,0.1945,1.00000,"HTR2A NHLRC3 PARP4 TNFRSF19 GPR12 DNAJC15 KBTBD7 KCNRG SETDB2 TNFSF11 WASF3 CCNA1 PHF11 ARL11 CAB39L GSX1 CCDC169 TRPC4 ELF1 SPATA13 ATP8A2 FRY SMIM2 PCDH17 GPALPP1 LECT1 RNF17 RXFP2 SOHLH2 N6AMT2 GJB2 SIAH3 URAD LACC1 ZMYM5 KATNAL1 MTUS2 AKAP11 RCBTB1 SGCG ITM2B FGF9 FOXO1 RNF6 KPNA3 COMMD6 POSTN NAA16 HSPH1 N4BP2L2 ZAR1L CPB2 IFT88 RASL11A SPERT NBEA RGCC SERP2 AMER2 ENOX1 PSPC1 FNDC3A TPTE2 TRIM13 KL PRR20A UTP14C MICU2 FLT3 SERTM1 MEDAG N4BP2L1 SLC25A30 DCLK1 ESD PDX1 NEK5 DGKH DLEU7 TEX26 C1QTNF9 TUBA3C LRCH1 SMAD9 SLC25A15 FREM2 UBL3 CKAP2 LHFP SACS LCP1 B3GALTL SLC46A3 DHRS12 RCBTB2 CDX2 ZDHHC20 CDADC1 KIAA0226L ZMYM2 SPG20 PAN3 MPHOSPH8 POLR1D PABPC3 MTRF1 CRYL1 FAM124A LNX2 PDS5B STOML3 TSC22D1 C1QTNF9B ATP12A SHISA2 CSNK1A1L SPRYD7 GJB6"
20,177,0.2126,3312,7821,0.2883,0.999999,"CDCA7L INMT CARD11 MTURN CHN2 FAM126A TRA2A EPDR1 GGCT HOXA13 IGFBP3 RAPGEF5 HOXA5 PURB ABCA13 ABCB5 ADCY1 AEBP1 AP5Z1 AVL9 C7orf57 C7orf72 CRHR2 DBNL DFNA5 FAM188B FIGNL1 FKBP9 GCK GLI3 H2AFV IGFBP1 INHBA KIAA0895 LRRC72 MMD2 MYL7 MYO1G NPC1L1 NUPR1L PDE1C PHKG1 PKD1L1 POM121L12 PRR15 PSPH RAMP3 RNASET2 SCIN SEPT14 SUMF2 TNS3 UBE2D4 UPP1 URGCP VOPP1 VSTM2A VWC2 WIPF3 ZNF713 ZPBP GRID2IP HOXA9 RNF216 DPY19L1 HOXA1 ADCYAP1R1 AGR2 AGR3 AMZ1 ANKMY2 ANKRD61 BBS9 BZW2 CBX3 CYP2W1 DAGLB DGKB DNAH11 FAM221A FERD3L GHRHR GNA12 GPNMB HDAC9 HERPUD2 HOXA11 HOXA6 HOXA7 ICA1 IQCE ITGB8 MICALL2 NME8 NPSR1 NPVF NPY PRKAR1B RP9 SNX10 SOSTDC1 SP4 SP8 STK17A STK31 SUGCT TBRG4 TMED4 TMEM184A TMEM196 TOMM7 TTYH3 WIPI2 ZMIZ2 GPR141 CCDC126 HOXA10 SKAP2 HOXA2 CPVL LANCL2 COA1 FKBP14 EEPD1 PGAM2 KLHL7 HOXA3 NEUROD6 ZNF716 GBAS EVX1 OSBPL3 ZNRF2 TMEM106B NOD1 OCM RSPH10B2 ZDHHC4 MPP6 MPLKIP KDELR2 AIMP2 FBXL18 FAM220A HIBADH DDC STEAP1B BLVRA KBTBD2 GPER1 TBX20 HECW1 POLM PPP1R17 AGMO BMPER C7orf31 CAMK2B ELMO1 GRB10 IGF2BP3 POU6F2 SFRP4 C7orf25 NT5C3A ZNF12 AMPH CCM2 NACAD RADIL RSPH10B SLC29A4 AHR RBAK PHF14 CCZ1B SNX8"
21,7,0.8636,18.14,92.35,0.1457,0.951651,"SCD SREBF1 ACSL3 C12orf49 MBTPS1 SCAP CYB5B"
22,84,0.1860,648.4,5022,0.1111,1.00000,"HNRNPR MTFR1L NCMAP ECE1 TMEM57 AGTRAP HTR6 KDF1 NECAP2 PADI3 SFN WDTC1 ZNF436 C1orf127 ESPN LZIC MYOM3 FBXO6 OTUD3 PLA2G2F CLCNKB LUZP1 NIPAL3 WNT4 AGMAT NR0B2 PADI1 FCN3 ARHGEF19 FAM76A C1QB TMEM82 PAQR7 SH3BGRL3 UBXN10 ALDH4A1 PADI4 GPR3 NBL1 TCEA3 CLIC4 MUL1 ZNF683 C1orf234 HTR1D FAM229A PRAMEF7 LDLRAD2 TMCO4 CATSPER4 FBLIM1 CLCNKA TRIM63 NPPA SLC9A1 TAS1R2 HSPB7 MASP2 SLC25A34 CD164L2 IL22RA1 IFNLR1 SPATA21 FAM131C ATPIF1 TRNP1 FUCA1 RSG1 MAN1C1 EPHB2 TNFRSF1B PINK1 EXTL1 LIN28A PNRC2 SLC30A2 PTAFR TMEM39B CD52 CELA3A AUNIP RCC2 IGSF21 RPS6KA1"
